x,y
4556.6,377.95
11067,5134.5
5716.5,1050.1
10069,8113
1103.7,3925.8
12953,13924
8022.3,5995.1
4350.4,3339.7
265.76,7782.4
503.17,4195.7
7211.9,8152.6
9239.2,14001
5541.8,6026.3
12275,11631
5215.9,1523.3
9048.5,9184.1
11507,3.1718
11504,1242.9
14599,7727.7
11889,12123
2697.7,7211.5
5376.1,13223
8416.4,7705
7076.4,9321
5610.7,10418
7026.7,9042.4
9878.2,11409
3657.7,8344.7
269.48,13518
9992.5,4558
4771.7,7185.6
1977,3547.9
9625.1,4625.5
10005,6072.5
4954.6,12806
1779,13078
7065.9,13009
7254.3,11471
1896.8,7555.5
5249.5,7052.9
11162,10013
9039.2,1294.2
13503,1600.5
5345.6,2599.8
8091.4,11366
12620,6728.2
12974,14333
14317,9398.2
14466,7166.6
9582.9,1330.7
6392.1,1209.3
5115.8,7523.4
1803.7,719.36
3429.1,6438.6
11306,2559.6
9266.3,14435
10058,9788.3
3151.6,6454.4
3081.9,8357
4298.4,2596.2
14495,10753
4892.8,10343
3298.9,1970.9
13342,3273.3
12541,9809
13868,9002.4
12930,3560.7
977.15,14539
13015,3085.3
13677,1390.2
10374,112.1
12360,7539.4
10791,838.19
8934.6,1169.1
2298.1,8187.6
4774.8,8247.2
366.78,14413
9844,24.742
774.28,6742.8
11240,4909.3
8356,7762.7
14721,5842.5
4219.3,11141
14428,1296.6
10467,7729.6
4630.9,11327
2492.2,1250.6
901.38,14153
5543.4,7037
4603.1,9835.4
12770,9199
7382.2,14663
10944,12426
4341.3,11750
6086.2,4837.9
11863,3683.8
9759.4,5624
2463.2,759.01
7255.2,4683.9
6644.1,14576
613.32,7388.4
2751.6,13021
9445,2202.5
8812.8,2556.2
12111,5863.3
1039.8,12740
5099.4,2260.6
11942,5147.3
4275.5,4916.3
2967,4549.3
8416,5082
6077.5,256.32
13581,3376.8
13321,1082.3
5817.6,6725.2
14650,4667.4
13541,7343.8
13310,6806.1
9826.6,5406.9
12908,2738.1
6107.5,2969.7
2884.7,2940.2
7776.7,10137
7847.2,4637.9
2617.4,11266
14808,10541
10072,1627.6
6085.2,9472.4
12056,14632
9177.5,1321.6
7104.7,404.44
5707.4,1633.5
4751.4,251.6
3353.5,10353
5014,11037
8975.6,10895
6741.5,3744.5
6077.2,8077.3
13608,1846.2
3167.5,274.17
8228.2,12387
13220,4571.8
6522.5,2971.7
3824.2,13348
6444.1,5436.9
9036.5,9387.7
9302.5,9963.3
3642,6302.8
8899.5,6243.4
7194.1,426.04
4002.7,1467.8
6787.9,2731.7
14092,10815
10923,10269
12028,6086
8583.9,9762.6
8252.7,3551.5
10398,14944
10753,10315
8500.8,6440.1
1271.9,5847.1
8241.8,7451.7
3112.4,10844
7348.5,14585
1110.4,498.85
12381,375.51
3381.1,10343
9168.7,1027.6
10985,4056
867.7,2402.7
1953.6,9313.9
12037,5789
6651.6,12299
8678.1,8156.3
8229.2,11714
1718.7,13078
1602.1,12194
9776.9,2673.7
5065.8,6492.7
6778,9543.5
930.58,5755
8779.4,10270
13104,6081.6
9981.1,1501
4946.2,10069
1482.7,3078.6
8337.2,3912.8
13791,5533.4
14454,14176
10060,10402
3995.3,7774.5
4221.8,2642.5
9876.2,11340
12652,7158.7
14998,526.13
13484,12225
12716,7050.1
14495,6930.3
1804.7,13038
2782.7,10112
12611,5023.3
3431.6,6270.8
13586,11654
14283,7907.4
5888.2,6680.2
8040.7,3282.4
5508.5,8405.1
10066,7958.8
11712,3750.9
9571.9,8836
12409,5512
1112.1,5203.3
2996.9,11907
13521,11635
323.46,6768.3
5497.8,8462.4
7603.3,12241
7563.9,2270.1
3195,6166.4
13547,3567.5
2660.8,684.66
4076.5,14937
12197,14443
12617,10665
10098,4091.8
224.52,3721.5
7478.2,11626
12525,8531.7
1738.3,3433
5777.2,12216
3159.6,8824.6
13455,129.48
13564,10171
13205,9514
5571.2,11579
10527,8627.1
10223,13648
2970,13658
10857,4102.8
5137,8282.9
6295.9,13834
13002,3608.4
5164,9856.3
8252,2473.9
10961,8813.2
182.97,9296.3
14805,10004
480.64,11717
2367.2,5009.6
9306.3,5982.3
9627.7,1114.1
10988,13074
3549.9,11932
1901.6,3718.6
910.1,6520
7873.5,12507
4276.3,10963
3675.8,6613.4
11846,3671.2
6409.5,10322
431.82,3436
11109,14539
5016.6,7954
3847.3,3083.6
10505,9899.9
14004,14391
106.03,4570.3
1009.4,9776.1
6291.1,2820.3
11746,12168
7179.7,2711.4
