x,y
6230.2,9238.1
3431.2,12457
3868.1,3551.2
12507,857.61
13640,11404
12051,3522.7
11590,13996
2997.5,11298
13417,1321.8
1686.9,12533
13460,2375.5
11565,13724
8184.1,9241.3
3875.3,8458
11392,3867.6
3720.3,8647.9
5645.2,13301
419.83,14818
1709,3885.5
6012.2,11401
6995.5,4110
5161.6,2666.5
775.35,1416.2
14943,11795
12178,7800.6
374.43,6403.8
14057,12706
901.04,1002.3
13237,7132.8
4828.6,2109.6
8618.6,13119
12875,12541
6778.3,667.83
10536,11097
4015.5,7689.1
14391,7879.3
1035.5,14449
11292,14396
8375.7,14680
11445,14089
4852.6,2936.1
11477,10991
4985.6,13503
3387.6,2309.1
1383.9,1450.7
5575.2,4002.2
11295,4389.8
3861.2,14368
14924,4423.7
14561,653.7
4722.5,7311.3
11646,2198.4
6214.5,462.12
7526.1,5540.7
4024.2,8180.9
2297.5,12667
4579.5,4104.4
6067.1,4259.3
9270.5,1608.4
8015.4,11546
10621,11943
858.58,9317.2
13524,651.53
12206,5644.4
10486,854.43
3660.5,10867
8075.6,4916.5
14662,5788.8
2622.8,7136.7
13174,1010.6
6778.2,9217.7
273.79,515.97
5434.3,4937.6
8736,13947
3855.3,4229
4174.5,10191
1018.7,9975.1
11702,9765.3
13041,5411.9
3353.3,2482.3
8769.6,13572
14732,3112.4
14557,5078.2
13537,13811
5789.3,7625.7
11280,902.74
2380.9,6668.3
4222.2,3748.5
5096,6975.4
399.58,9826.6
5466,14469
10728,13729
7990.2,3544.2
9678.3,6936.2
11833,14394
7981.3,11527
8335.6,1598.3
4662.7,3579.5
4375.2,1911.6
8795.1,2446.3
8085.7,9016.1
3161.6,8886.9
9149.8,7794.5
5935.4,9419.1
2933.2,7950.6
12405,7298.8
11313,258.66
5480.9,1651
8765,11341
7053.8,12432
4105.7,677.14
13853,6890.9
3791.3,2720.5
1119.8,6057.7
6490.6,5690.3
3898.4,14767
12625,9354.7
9205.7,7746.7
3557.8,3426.7
9411.4,4633.1
10895,13109
7806.8,6471.4
359.06,354.79
10638,4402
11489,728.31
4788.4,3714.7
10098,11794
3745,3947.8
10186,14024
5717.4,2502.3
9155.4,9965.5
14167,11845
1631.3,7690.1
2029.8,4159.8
3948.4,8893.1
11876,12877
8954.3,6612.1
7022.3,1215.2
5893.1,7556.6
9743.4,295.58
9519.4,8094.1
4971.4,3102.5
13189,995.83
12653,9376.4
13560,8904.4
12428,3255.3
732.85,10488
10726,12397
7885.7,2625.1
1247.9,6718.5
13306,8127.8
10709,11272
14833,8210
11595,7284.1
6287,4192.7
5322.3,10675
9723.2,2840.5
13110,9861.9
4234.6,8740.6
13812,6007.4
4122.7,10236
12917,12578
6851.5,6134.2
12195,3534.2
9780.9,3100.1
2953.3,3770
9286,1612.3
9929.5,3574.4
1740.9,14746
6276.1,7633.6
14907,4000
1429.9,2348.6
3693.9,1491.4
5307.2,4146.4
8493.4,10224
8931.1,8367.2
12731,9230.6
6234.1,12779
11248,170.17
7725.7,9428.4
6609.4,3154.5
2853.9,11475
11248,1958.1
14994,3384.2
8679.4,7471.9
12288,5639.6
4629.6,9128.5
10593,4997.9
3711.5,13193
3586.8,9767.1
2517.3,4880.6
12622,4228.3
7073.1,8201
7197.7,2625
3120.7,12953
9189.5,1910.7
3582.6,12904
7331.1,4262.3
8939.9,11192
14121,4430.6
751.48,1567.6
3667.7,10870
993.16,4012.1
9770.3,4967.4
3817.9,3265.1
23.654,6749.3
13702,8459.2
3672.7,9766.1
3760.5,9927.4
1098.5,6596.5
8210.2,5065.7
2834.6,7192.9
601.07,3715.7
13456,9876.4
6028.8,7456.9
4044.4,8573.7
12256,9000.6
14461,10488
10198,12153
10010,4027.9
11229,276.51
8075.6,9767.5
8017.8,6864.5
9152.3,7594.6
2290.1,4826.4
2155.9,2058.2
3063.6,6388.4
14127,4400
5045.8,2634.2
1953.8,1238.1
2687.8,5306.6
2620.5,2058.2
2651.5,4403.5
2649.5,355.18
3451.8,8166.4
12987,12154
4111.7,8939.6
8038.8,520.95
7302.4,12601
14411,6632.4
8792.2,1737.5
3149.7,7449
14406,8550.1
8161.2,11567
6236.3,13146
3601.7,13280
7769.2,14409
13026,12639
11127,14786
10924,13170
14330,5774.7
12237,10315
4583.9,11961
8875.3,14207
2673,4990.4
13992,13368
6831.1,1691.4
7027.2,3256.1
2713.3,13445
6002.3,493.2
2571.4,2843.1
6384.1,7311.3
2041.9,9613.1
14959,11820
11633,3612.3
6882.3,12369
9321.6,1605.4
13309,9605.5
990.28,5784.2
7723.2,6401.4
1458.8,13897
8605.6,14588
8063,6769.3
7378.7,945.78
3743.2,7003.7
5024.1,2657.9
2013,10816
2768.1,10988
7085.3,8309.3
10511,6485.4
9626,1234.2
13289,4137.9
4471.4,2349.8
3982,13765
12447,14610
4256.4,6533.1
14878,1957.5
7814,13751
557.74,7607.1
11232,2560.9
10254,5762.6
2323.9,9568.3
4859.2,5192.2
6779.8,10322
9452.6,12679
14221,4000.5
4143.5,8291.8
5053.5,12243
7979.9,659.52
6808,7489.5
4513.9,4081.5
9882.2,3640.6
72.331,8219.7
3819.1,13344
12770,9257.2
8042.3,9806.1
10798,446.17
11547,265.52
3479.4,9423.9
11469,9486
5470.1,9734.5
9092.6,13593
6993.2,8300.1
9447.2,9032.1
2632.8,1172
5673.3,7719.5
12075,5080.9
10962,1870.6
858.43,9319.7
365.56,11961
6219,7646.6
13249,5778.1
3596.6,5471.5
7799.2,8163.5
8969.4,8336.2
9241,4528.2
10951,3137.4
4889.3,12719
2317.7,9585.3
1231.4,8278.2
7004.8,7846.9
4104.3,7884.9
2760.9,10113
9651.1,9062.8
13817,8823.4
9692.3,3460.6
5627,11303
3880.2,397.33
1055.3,6605.3
8865.4,6968.1
8934.7,5477.3
8163.7,6352.9
5123.5,2707.4
12776,10205
4787.9,10083
6963.6,7924.6
12765,10619
8809.2,10820
14497,7623.5
6235,9639.8
119.26,4186.2
7743.8,1196.3
8553.9,1578.9
4217.6,13072
1521.8,5461.4
1816.6,7221.1
643.82,14946
13621,1008.6
11374,3347.9
7382.7,10945
3352.2,5539.5
2548,9223.7
833.02,5664.7
14544,5067
3451.1,1230.7
14621,12221
279.14,8548.7
7360.1,8937.5
8175.9,12753
11890,3770.6
127.74,581.81
7930.9,10592
5221.3,4511.1
7987.9,4957.5
2239.9,8979.7
13563,7888.9
3794.9,14425
2584.6,1096.5
12786,2544.6
3162.7,9746.9
5020.6,10151
1001.6,10029
3675,12656
12880,12545
10838,492.07
4234.9,8468.3
1373.7,2629.4
7983.6,1944.4
13180,912.06
3628.1,7958.3
2419.1,1041.9
5711.4,5073.9
5926.2,9429.3
12731,14454
4140.9,6133.2
3474,662.88
3453.8,7850.9
11280,4229
11122,5824.4
9834.7,13285
6962.2,5937.4
13024,3100.3
5651.1,11602
3505.5,7046.7
13769,3052.9
2873.4,14870
3835.5,14360
5721.8,11987
5733.5,5087.2
3520.7,1161.8
14206,14911
7257.7,5344.1
12605,1731.9
10780,837.81
5069.8,2646.4
6862.7,5220.7
6245.6,1995.8
7154.5,6226
5168.8,2712.8
1151.2,5785.8
6587,12055
1409.9,9533.5
5580.7,11312
13420,9894.5
116.37,13463
52.557,8128.6
11723,5573.1
12299,14577
5561.2,3079.1
6536.8,1291.8
11496,12705
12778,8255
162.62,14363
2823.8,1349
6658.3,7363.9
9669.8,14518
10977,6206.4
8449.3,185.61
4262.2,816.05
11617,3249.9
4016.3,5953.3
7175.9,2606.2
4992.9,3283.4
4983.5,10826
5320.2,12693
9604.8,3193.7
2834.2,12647
11145,352.06
12899,1221.1
2102.6,11997
4614.9,231.37
157.77,6135.4
13505,2834.1
11141,8191.4
6836.5,6796.3
3242.9,7854.5
13427,13799
1620.2,10680
7301,4336.9
5756.2,9535
11272,10834
14078,13765
14060,10045
6808.2,2455.3
14727,6811
5508.3,3516.5
13212,9858.7
2765,1611.3
8706.6,6017.3
2626.7,14302
7281.9,2246.3
2909.2,11478
10833,7814.4
12811,9450.7
12210,7925.6
9704.1,5719.5
8694.9,5678.2
1883.8,10779
2585,3867.7
5251.9,8833.2
13729,13530
14465,10455
4465.1,10486
2327.3,5565.4
1113.6,1407.9
12526,2818.9
215.54,4340.5
10939,9438.3
14101,1382
2425.2,5641.2
12058,7047.8
9703.4,13919
6459.3,11137
3225.6,11173
5147.5,761.14
71.833,3758.7
10886,13139
3998.4,1422.7
6023.1,11326
12694,9247.9
4002.8,2646.6
5266.7,4238.3
7412.2,1601
10778,1555.1
7117.4,2616.9
11660,2222.9
7941.8,2712.3
9643.6,3160.6
10228,4218.3
14632,9267.4
4995.1,3214.1
3566.9,310.73
8306.3,6802.7
8041.8,12858
2051.3,13246
7796.7,14428
13777,7215.9
1450.3,9585.7
4541.9,14999
8235.5,46.96
10584,3009.7
13960,4990.1
570.95,10285
13743,7011
14822,5014.7
6024.9,4271.3
564.63,1818.6
12576,12694
1584.3,11314
3467.5,4495.1
7614.7,2743.2
5750.6,3268.1
13554,3199.8
4680.8,223.7
6065.4,6807
13316,3382.5
9123.9,13754
11326,12459
1831.3,2361.4
171.26,4362.4
5146.2,10873
14172,12575
10895,4764.2
11252,7616.1
11027,6217.7
817.19,11520
